controlNumber,prefLabel,scopeNote,prefLabelEnglish,embeddingPromptEnglish,translationModel,translationPromptVersion
355052,100-talet,Allmänt kronologiskt ämnesord.,19th century,A photograph depicting 19th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355046,100-talet f.Kr.,Används för åren 199-100 f.Kr. | Allmänt kronologiskt ämnesord.,late 2nd century BC,A photograph depicting late 2nd century BC.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355062,1000-talet,Allmänt kronologiskt ämnesord.,11th century,A photograph depicting 11th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395918,"1040-256 f.Kr. (Zhoudynastin, Kina)",Kronologiskt ämnesord för Kina.,Zhou Dynasty 1040-256 BCE China,A photograph depicting Zhou Dynasty 1040-256 BCE China.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
401115,-1066 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,1066 England,A photograph depicting 1066 England.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355788,1066-1485 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,1066-1485 (Britain),A photograph depicting 1066-1485 (Britain).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168917,11 september-attackerna 2001,,9/11 attacks 2001,A photograph depicting 9/11 attacks 2001.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
352075,11 september-attackerna 2001 i konsten,,9/11 attacks in art 2001,A photograph depicting 9/11 attacks in art 2001.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
351307,11 september-attackerna 2001 i litteraturen,,9/11 attacks in literature,A photograph depicting 9/11 attacks in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
224324,11 september-attackerna 2001 i massmedia,,9/11 attacks coverage 2001,A photograph depicting 9/11 attacks coverage 2001.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355063,1100-talet,Allmänt kronologiskt ämnesord.,11th century,A photograph depicting 11th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355064,1200-talet,Allmänt kronologiskt ämnesord.,13th century,A photograph depicting 13th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355772,"1200-talet-1809 (svensktiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.,1809-18th-century-finland-sweden-era,A photograph depicting 1809-18th-century-finland-sweden-era.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
